J         CT        CP        eta
0.155814  0.122652  0.062669  0.304949
0.188178  0.121326  0.062619  0.364598
0.219804  0.119676  0.062367  0.421784
0.253172  0.118206  0.063171  0.473735
0.285271  0.115340  0.063190  0.520702
0.316709  0.111582  0.063341  0.557921
0.349532  0.106895  0.063502  0.588384
0.382343  0.102809  0.063559  0.618456
0.414424  0.096654  0.063303  0.632760
0.446713  0.091893  0.062915  0.652472
0.477851  0.086833  0.061918  0.670136
0.510126  0.082092  0.061162  0.684694
0.537847  0.076979  0.059748  0.692956
0.541570  0.076837  0.059721  0.696797
0.568426  0.072348  0.058711  0.700458
0.573714  0.072038  0.058641  0.704787
0.599578  0.066210  0.056649  0.700771
0.600703  0.066617  0.056795  0.704588
0.630034  0.060293  0.054451  0.697628
0.631508  0.060337  0.054403  0.700391
0.663550  0.054459  0.052208  0.692170
0.695455  0.048380  0.049710  0.676857
0.728128  0.040767  0.046061  0.644461
0.760700  0.033683  0.042468  0.603352
0.790593  0.025634  0.037678  0.537882
0.823951  0.018109  0.033362  0.447257
0.856176  0.010663  0.028767  0.317354
0.890280  0.002631  0.023770  0.098559
0.920973 -0.004332  0.019231 -0.207460
0.951726 -0.011276  0.014764 -0.726897
0.984698 -0.018621  0.010043 -1.825926
0.984158 -0.018453  0.010029 -1.810820
