2.199664978700896540e+02,-3.839246640662933530e+00,0.000000000000000000e+00
2.192512499254206659e+02,-3.721146777636728853e+00,0.000000000000000000e+00
2.171411614406698902e+02,-3.341065488276211859e+00,0.000000000000000000e+00
2.137270713518928460e+02,-2.663182559066138655e+00,0.000000000000000000e+00
2.091212777504025553e+02,-1.682857010857143454e+00,0.000000000000000000e+00
2.034443398928971476e+02,-4.263967440673015474e-01,0.000000000000000000e+00
1.968075960590293221e+02,1.055847595985229148e+00,0.000000000000000000e+00
1.893222309585863457e+02,2.704726704067486942e+00,0.000000000000000000e+00
1.810860777416175154e+02,4.452522969830146060e+00,0.000000000000000000e+00
1.721926086206811704e+02,6.233795232835397826e+00,0.000000000000000000e+00
1.627267275032193083e+02,7.996453892383261319e+00,0.000000000000000000e+00
1.527757299239846418e+02,9.699369280200855314e+00,0.000000000000000000e+00
1.424402629774677393e+02,1.130998003313166222e+01,0.000000000000000000e+00
1.318297724180739010e+02,1.279557121815353860e+01,0.000000000000000000e+00
1.210493814551839478e+02,1.412790401713455424e+01,0.000000000000000000e+00
1.102107355081819122e+02,1.527422510458615967e+01,0.000000000000000000e+00
9.942555678138465680e+01,1.620618048497720309e+01,0.000000000000000000e+00
8.879684560412705707e+01,1.689996906259957399e+01,0.000000000000000000e+00
7.842764069821036799e+01,1.733398940672384114e+01,0.000000000000000000e+00
6.841229730292036493e+01,1.749339265142231881e+01,0.000000000000000000e+00
5.884080972005165933e+01,1.736560638067882678e+01,0.000000000000000000e+00
4.980108776381954527e+01,1.694469556587970516e+01,0.000000000000000000e+00
4.136568198605470315e+01,1.622719359065483147e+01,0.000000000000000000e+00
3.359186046113619284e+01,1.521650158083503079e+01,0.000000000000000000e+00
2.653299103554892113e+01,1.394469309190706241e+01,0.000000000000000000e+00
2.025097146842777818e+01,1.242829045464114834e+01,0.000000000000000000e+00
1.476822072669022923e+01,1.069110605913892798e+01,0.000000000000000000e+00
1.010784884164909059e+01,8.796546265118664110e+00,0.000000000000000000e+00
6.306202226955770485e+00,6.809986742478877808e+00,0.000000000000000000e+00
3.388590578901771178e+00,4.794795458471420524e+00,0.000000000000000000e+00
1.382638436156515160e+00,2.820900982817842184e+00,0.000000000000000000e+00
2.701612975007730011e-01,9.810347768212391850e-01,0.000000000000000000e+00
7.502574918195574483e-02,-4.919842039737518657e-01,0.000000000000000000e+00
1.143308649717829972e+00,-1.562389942197655257e+00,0.000000000000000000e+00
3.585476546427365907e+00,-2.456544673931107425e+00,0.000000000000000000e+00
7.222627119174064525e+00,-3.213132243990488135e+00,0.000000000000000000e+00
1.201558871547178420e+01,-3.807265273214767820e+00,0.000000000000000000e+00
1.792465218830468743e+01,-4.244851692144730571e+00,0.000000000000000000e+00
2.489691040078473350e+01,-4.531569076522719897e+00,0.000000000000000000e+00
3.286610465628604771e+01,-4.681663307207442060e+00,0.000000000000000000e+00
4.174614088090803676e+01,-4.711234397838646615e+00,0.000000000000000000e+00
5.145092500075013930e+01,-4.636382362056083117e+00,0.000000000000000000e+00
6.186777499983528372e+01,-4.483744828796123016e+00,0.000000000000000000e+00
7.287536377213729111e+01,-4.271007197214711226e+00,0.000000000000000000e+00
8.434371912158074736e+01,-4.006902636687360797e+00,0.000000000000000000e+00
9.614275367469109312e+01,-3.706763311525687943e+00,0.000000000000000000e+00
1.081446949003715901e+02,-3.379360783571611737e+00,0.000000000000000000e+00
1.202149793102574620e+02,-3.044349762161338457e+00,0.000000000000000000e+00
1.322189666310510461e+02,-2.725784286588472938e+00,0.000000000000000000e+00
1.440110182645612156e+02,-2.447526433814589453e+00,0.000000000000000000e+00
1.554457259673952478e+02,-2.220240290929054616e+00,0.000000000000000000e+00
1.663840117438317350e+02,-2.070102777271363603e+00,0.000000000000000000e+00
1.766803137806123516e+02,-2.016576639845687247e+00,0.000000000000000000e+00
1.861891854418779246e+02,-2.072525630720094547e+00,0.000000000000000000e+00
1.947653336616350543e+02,-2.242014842047850287e+00,0.000000000000000000e+00
2.022591812213320850e+02,-2.522433586113303594e+00,0.000000000000000000e+00
2.085350783491512061e+02,-2.869607895403927245e+00,0.000000000000000000e+00
2.134949615402447307e+02,-3.229018149442601349e+00,0.000000000000000000e+00
2.170760771068232486e+02,-3.540160012278608104e+00,0.000000000000000000e+00
2.192417602011105657e+02,-3.760587177387719304e+00,0.000000000000000000e+00
2.199664978700896540e+02,-3.839246640662933530e+00,0.000000000000000000e+00
