J         CT        CP        eta
0.114217  0.109732  0.041951  0.298758
0.139969  0.107356  0.042302  0.355217
0.162949  0.105390  0.042740  0.401806
0.187543  0.103104  0.043151  0.448105
0.211171  0.100695  0.043463  0.489236
0.236673  0.097444  0.043479  0.530420
0.258847  0.094306  0.043560  0.560389
0.285172  0.091265  0.043905  0.592787
0.309353  0.087772  0.043897  0.618557
0.332855  0.084145  0.043596  0.642433
0.357372  0.080312  0.043174  0.664781
0.381553  0.076388  0.042488  0.685983
0.405529  0.072710  0.041847  0.704614
0.408001  0.072459  0.041759  0.707935
0.428053  0.068653  0.040878  0.718908
0.430877  0.068687  0.040888  0.723823
0.451924  0.064156  0.039610  0.731967
0.454181  0.064439  0.039716  0.736898
0.474223  0.060239  0.038509  0.741830
0.477215  0.060174  0.038479  0.746256
0.499684  0.056120  0.037211  0.753590
0.521507  0.051229  0.035431  0.754019
0.546028  0.046342  0.033593  0.753243
0.571367  0.041060  0.031459  0.745740
0.593129  0.035928  0.029170  0.730539
0.617322  0.030052  0.026399  0.702738
0.640079  0.024752  0.023767  0.666599
0.665935  0.019066  0.020899  0.607520
0.689153  0.013480  0.017879  0.519581
0.712851  0.007436  0.014626  0.362420
0.738542  0.001006  0.011137  0.066700
0.763349 -0.004919  0.007856 -0.477986
0.763746 -0.004985  0.007840 -0.485604
