J       CT       CP       eta
0.095   0.1129   0.0527   0.204
0.122   0.1112   0.0531   0.256
0.146   0.1101   0.0535   0.300
0.169   0.1081   0.0536   0.341
0.192   0.1063   0.0538   0.379
0.218   0.1041   0.0540   0.420
0.242   0.1022   0.0541   0.456
0.264   0.1002   0.0539   0.490
0.287   0.0965   0.0535   0.517
0.311   0.0950   0.0539   0.547
0.335   0.0922   0.0539   0.572
0.358   0.0891   0.0536   0.595
0.382   0.0859   0.0535   0.613
0.405   0.0824   0.0528   0.631
0.407   0.0810   0.0524   0.630
0.428   0.0771   0.0511   0.646
0.431   0.0760   0.0507   0.645
0.450   0.0713   0.0489   0.656
0.478   0.0638   0.0459   0.664
0.505   0.0571   0.0427   0.675
0.522   0.0531   0.0409   0.679
0.544   0.0488   0.0388   0.685
0.573   0.0431   0.0358   0.690
0.594   0.0391   0.0337   0.690
0.622   0.0340   0.0310   0.683
0.648   0.0293   0.0285   0.666
0.669   0.0254   0.0264   0.644
0.692   0.0212   0.0239   0.615
0.719   0.0161   0.0208   0.554
0.740   0.0122   0.0184   0.491
0.767   0.0072   0.0151   0.364
0.788   0.0034   0.0125   0.217
0.814   -0.0017   0.0088   -0.157
0.836   -0.0060   0.0057   -0.876
