J       CT       CP       eta
0.109   0.1113   0.0528   0.231
0.136   0.1096   0.0531   0.281
0.157   0.1080   0.0532   0.320
0.186   0.1059   0.0534   0.369
0.215   0.1035   0.0536   0.415
0.241   0.1012   0.0537   0.454
0.265   0.0988   0.0537   0.488
0.293   0.0960   0.0536   0.524
0.318   0.0931   0.0536   0.552
0.344   0.0901   0.0536   0.579
0.370   0.0862   0.0532   0.600
0.397   0.0813   0.0522   0.618
0.424   0.0751   0.0501   0.635
0.453   0.0668   0.0468   0.647
0.476   0.0613   0.0444   0.657
0.502   0.0554   0.0417   0.667
0.533   0.0491   0.0387   0.677
0.560   0.0439   0.0360   0.683
0.583   0.0395   0.0337   0.684
0.612   0.0344   0.0310   0.680
0.636   0.0303   0.0289   0.666
0.670   0.0241   0.0255   0.632
0.689   0.0210   0.0238   0.607
0.725   0.0140   0.0196   0.519
0.745   0.0105   0.0173   0.452
0.774   0.0051   0.0138   0.286
0.799   0.0007   0.0105   0.050
0.825   -0.0046   0.0069   -0.551
