J       CT       CP       eta
0.097   0.1096   0.0522   0.204
0.126   0.1080   0.0525   0.259
0.145   0.1070   0.0527   0.295
0.168   0.1056   0.0529   0.336
0.192   0.1041   0.0530   0.378
0.218   0.1021   0.0531   0.420
0.240   0.1005   0.0532   0.454
0.266   0.0984   0.0533   0.491
0.290   0.0964   0.0534   0.524
0.311   0.0946   0.0534   0.551
0.338   0.0920   0.0534   0.583
0.358   0.0900   0.0534   0.603
0.384   0.0873   0.0533   0.629
0.409   0.0839   0.0529   0.648
0.428   0.0807   0.0523   0.661
0.456   0.0761   0.0512   0.677
0.477   0.0718   0.0498   0.687
0.479   0.0711   0.0496   0.686
0.408   0.0842   0.0531   0.648
0.433   0.0801   0.0522   0.664
0.455   0.0761   0.0512   0.677
0.504   0.0656   0.0476   0.695
0.527   0.0603   0.0453   0.700
0.548   0.0553   0.0431   0.703
0.576   0.0486   0.0397   0.704
0.601   0.0431   0.0368   0.704
0.627   0.0378   0.0338   0.700
0.647   0.0341   0.0318   0.694
0.670   0.0299   0.0294   0.681
0.697   0.0249   0.0265   0.655
0.717   0.0213   0.0243   0.628
0.748   0.0156   0.0209   0.556
0.766   0.0122   0.0188   0.496
0.795   0.0068   0.0152   0.358
0.820   0.0021   0.0120   0.146
0.846   -0.0025   0.0088   -0.240
0.868   -0.0071   0.0059   -1.047
