J       CT       CP       eta
0.084   0.1112   0.0524   0.178
0.111   0.1099   0.0527   0.231
0.131   0.1087   0.0529   0.270
0.157   0.1071   0.0532   0.317
0.176   0.1060   0.0533   0.350
0.199   0.1044   0.0534   0.389
0.224   0.1027   0.0536   0.428
0.245   0.1009   0.0537   0.461
0.265   0.0993   0.0537   0.489
0.290   0.0972   0.0538   0.525
0.311   0.0952   0.0538   0.551
0.334   0.0930   0.0538   0.578
0.353   0.0913   0.0538   0.599
0.374   0.0891   0.0537   0.620
0.376   0.0887   0.0536   0.621
0.397   0.0865   0.0536   0.641
0.418   0.0838   0.0533   0.658
0.440   0.0807   0.0528   0.673
0.465   0.0756   0.0513   0.685
0.486   0.0717   0.0502   0.695
0.507   0.0679   0.0490   0.704
0.530   0.0618   0.0464   0.707
0.549   0.0578   0.0446   0.711
0.575   0.0514   0.0414   0.714
0.595   0.0469   0.0392   0.712
0.625   0.0400   0.0353   0.707
0.644   0.0365   0.0334   0.703
0.669   0.0314   0.0305   0.688
0.687   0.0280   0.0286   0.673
0.704   0.0249   0.0267   0.656
0.734   0.0195   0.0234   0.610
0.752   0.0159   0.0212   0.563
0.778   0.0109   0.0179   0.473
0.797   0.0075   0.0156   0.383
0.821   0.0030   0.0125   0.195
0.844   -0.0014   0.0095   -0.129
0.869   -0.0063   0.0063   -0.878
